ReviewID,Platform,ProductName,Category,State,Rating,ReviewText,Sentiment
REV000052,jumia nigeria,LED bulb,Beauty,Lagos,3,Dem send me reject product I no happy at all,Neg
REV000053,Jiji,Electric fan,Home & Kitchen,Sokoto,5,Perfect condition arrived on time. God bless the seller this thing work well,P
REV000054,Konga.com,Sneakers,Home & Kitchen,Enugu,1 stars,Fake product delivered to me. product is already broken. Very angry and disappointed,Bad
REV000055,konga,Smartwatch,Fashion,Kwara,5,Very satisfied with this item. Abeg if you need am buy am no waste time,P
REV000056,jumia nigeria,Running shoes,Phones & Tablets,Abuja,1,Delivery took too long and product was damaged. Dem send me reject product I no happy at all,neg
REV000057,JUMIA,Electric kettle,Fashion,Plateau,5,Ordered and received in perfect condition. product works perfectly. Will tell my friends about this,👍
REV000058,jumia nigeria,Cutlery set,Books & Stationery,Plateau,1,Never buying from this seller again. This seller na scammer abeg warn una,Negative
REV000059,jiji,Jump rope,Books & Stationery,Niger,5,Ordered and received in perfect condition. This one na original no be china fake,Pos
REV000060,konga,Smartwatch,Books & Stationery,Anambra,5,E reach my house quick quick I happy die,Good
REV000061,konga ng,LED bulb,Home & Kitchen,Delta,5,Best thing I have ordered on this platform. arrived before the expected date. Thank you so much,1
REV000062,KONGA,Pressing iron,Sports,Oyo,1,Fake product delivered to me. Complete scam avoid this,bad
REV000063,JUMIA,Face cream,Home & Kitchen,Sokoto,2,Very dissatisfied with this item. I want my money back,negative
REV000064,JUMIA,Body lotion,Electronics,Kwara,5,Abeg everyone should buy this thing,Good
REV000065,Jiji,Sunglasses,Books & Stationery,Rivers,5,Quality is top notch. This one na original no be china fake,GOOD
REV000066,KONGA,Wristwatch,Baby & Kids,Imo,1,Worst product I have ever ordered. This product na lie the picture and reality different,BAD
REV000067,KONGA,Backpack,Beauty,Kaduna,5,I am impressed with the quality. delivery was very fast. Keep up the good work,👍
REV000068,JIJI,Yoga mat,Beauty,Kwara,1,Fake product delivered to me. Dem send me reject product I no happy at all,bad
REV000069,Konga.com,Screen protector,Electronics,Delta,3,Seller ghost me after collection of money na thief,NEGATIVE
REV000070,jiji,Backpack,Books & Stationery,Imo,5,I am impressed with the quality. Abeg if you need am buy am no waste time,👍
REV000071,konga,Exercise book,Electronics,Oyo,1,This product is very disappointing. completely fake product. Very angry and disappointed,N
REV000072,Jumia,Cooking pot,Health,Enugu,5,I am impressed with the quality. Na real quality product this one be,Pos
REV000073,jiji nigeria,Exercise book,Electronics,Kaduna,5,Na real quality product this one be,positive
REV000074,jiji,Children toy,Health,Rivers,5,Superb product highly recommend. product works perfectly. Best decision I made this month,👍
REV000075,Jiji.ng,Earphones,Electronics,Lagos,4,Product is exactly as described. no complaints at all. Will tell my friends about this,Positive
REV000076,Jiji,Yoga mat,Health,Kaduna,2 stars,Worst product I have ever ordered. Wasted my money completely,negative
REV000077,Jiji,Hair dryer,Baby & Kids,Kwara,5/5,I swear this product na the best,Positive
REV000078,Jumia.com,Cutlery set,Computers,Bauchi,2,Worst product I have ever ordered. packaging was torn and dirty. Never buying here again,negative
REV000079,jumia,Face cream,Sports,Lagos,1,I am not happy with this purchase at all. I want my money back,BAD
REV000080,Konga.com,Air fryer,Sports,Kano,5,Product is exactly as described. This one na original no be china fake,1
REV000081,jumia nigeria,Phone charger,Electronics,Niger,2/5,Complete waste of my hard earned money. This thing na china fake dem charge me original price,0
REV000082,Jiji.ng,Exercise book,Phones & Tablets,Plateau,4,I am very happy with this purchase. highly recommend to everyone. I will definitely order again,pos
REV000083,Konga,Sunglasses,Phones & Tablets,Imo,2,Fake product delivered to me. Abeg make Jumia check this seller well well,Negative
REV000084,Konga,Bag,Computers,Plateau,4,Packaging was neat and delivery was fast. God bless the seller this thing work well,1
REV000085,konga ng,Bluetooth speaker,Baby & Kids,Katsina,1,Worst product I have ever ordered. not worth the price at all. I have reported this seller,bad
REV000086,JUMIA,USB cable,Baby & Kids,Sokoto,5,Wahala free delivery fast product correct,pos
REV000087,JIJI,Sunglasses,Phones & Tablets,Kwara,4,This is the best purchase I have made. price is very fair. Five stars all the way,pos
REV000088,Konga.com,Laptop bag,Home & Kitchen,Enugu,4,I am impressed with the quality. I no regret buying this product at all,GOOD
REV000089,Jumia.com,Backpack,Electronics,Lagos,2/5,Fake product delivered to me. Complete scam avoid this,bad
REV000090,Konga,Phone case,Phones & Tablets,Plateau,1,This product na lie the picture and reality different,Negative
REV000091,Jiji.ng,LED bulb,Home & Kitchen,Kaduna,1,This product is nothing like the picture. colour is completely different. Requesting a refund immediately,Neg
REV000092,Konga.com,Running shoes,Fashion,Kano,1,Complete waste of my hard earned money. This seller na scammer abeg warn una,BAD
REV000093,konga ng,Screen protector,Sports,Enugu,1/5,Terrible quality waste of money. nothing like the pictures shown. Jumia should do better,negative
REV000094,jumia nigeria,Jump rope,Home & Kitchen,Katsina,5 stars,I am very happy with this purchase. quality is outstanding. Will tell my friends about this,good
REV000095,konga ng,Face mask,Home & Kitchen,Bauchi,4,<p>Oga this thing na correct product</p>,positive
REV000096,jumia nigeria,Earphones,Baby & Kids,Anambra,5,This product dey sweet walahi,good
REV000097,konga ng,Hand sanitizer,Baby & Kids,Kaduna,,Do not buy this product please. Wasted my money completely,neg
REV000098,Jumia.com,Phone charger,Sports,Plateau,2,This seller na scammer abeg warn una,bad
REV000099,konga,Exercise book,Phones & Tablets,Anambra,2,This product is very disappointing. I have reported this seller,neg
REV000100,konga ng,Frying pan,Computers,Kano,1,I am returning this product immediately. Product spoil after two days use na wa,👎
REV000101,Konga.com,Electric kettle,Baby & Kids,Benue,4,Very durable and well made. E reach my house quick quick I happy die,Positive
REV000102,Jumia.com,Memory card,Computers,Kano,3/5,Abeg avoid this seller e be thief,bad
REV000103,JIJI,Hair dryer,Electronics,Imo,5,I am very happy with this purchase. Wahala free delivery fast product correct,👍
REV000104,konga,Men shirt,Books & Stationery,Rivers,1,Never buying from this seller again. Abeg make Jumia check this seller well well,NEGATIVE
REV000105,jiji,Sunglasses,Home & Kitchen,Kwara,2,Fake product delivered to me. Never buying here again,Neg
REV000106,jiji,Phone stand,Books & Stationery,Rivers,5,Great value for money. Abeg if you need am buy am no waste time,POSITIVE
REV000107,jumia nigeria,Cooking pot,Health,Kaduna,5/5,Na real quality product this one be,GOOD
REV000108,jiji nigeria,Sunglasses,Books & Stationery,Delta,2/5,Very dissatisfied with this item. seller refused to respond. I have reported this seller,0
REV000109,jiji nigeria,Memory card,Beauty,Kaduna,2/5,Never buying from this seller again. stopped working immediately. This seller is fraudulent,Neg
REV000110,jiji nigeria,Wristwatch,Computers,Anambra,5,Na real quality product this one be,Pos
REV000111,KONGA,Cooking pot,Beauty,Katsina,1,Never buying from this seller again. very flimsy and cheap material. Very angry and disappointed,bad
REV000112,konga,Thermometer,Fashion,Benue,2,This product is very disappointing. Complete scam avoid this,Neg
REV000113,KONGA,Air fryer,Computers,Abuja,5,Product is exactly as described. product works perfectly. I will definitely order again,Good
REV000114,jiji nigeria,Earphones,Computers,Anambra,5,Very satisfied with this item. seller was very responsive. Will tell my friends about this,POSITIVE
REV000115,konga ng,Sandals,Fashion,Oyo,2,Do not buy this product please. I don waste my money buy fake product,Neg
REV000116,Konga,Vitamins,Electronics,Abuja,5,Quality is top notch. product works perfectly. Very happy customer here,Positive
REV000117,KONGA,Men shirt,Books & Stationery,Kaduna,1,Product stopped working after two days. I go report this matter the product na rubbish,0
REV000118,konga ng,Screen protector,Fashion,Imo,5,Excellent quality product. My madam happy when she see am na so I know say correct,good
REV000119,Konga.com,Body lotion,Sports,Katsina,4 stars,Abeg if you need am buy am no waste time,Good
REV000120,jiji,School bag,Baby & Kids,Oyo,4/5,This is exactly what I needed. price is very fair. Five stars all the way,POSITIVE
REV000121,JIJI,Perfume,Sports,Enugu,1,Complete waste of my hard earned money. Oga the thing dem send no be wetin I order,Negative
REV000122,konga,Backpack,Health,Lagos,5,Abeg if you need am buy am no waste time,good
REV000123,JUMIA,Electric fan,Baby & Kids,Abuja,2,Zero stars if possible. This product na lie the picture and reality different,NEGATIVE
REV000124,JUMIA,Pressing iron,Baby & Kids,Lagos,3,The quality is extremely poor. Requesting a refund immediately,Bad
REV000125,konga ng,Jump rope,Electronics,Delta,5,I am impressed with the quality. I no regret buying this product at all,Good
REV000126,Jumia,Memory card,Books & Stationery,Katsina,5,Na real quality product this one be,👍
REV000127,jumia,Exercise book,Baby & Kids,Kwara,5,Na real quality product this one be,Pos
REV000128,Jumia,Hand sanitizer,Beauty,Lagos,4,This product dey sweet walahi,positive
REV000129,JIJI,Memory card,Phones & Tablets,Oyo,1,Do not buy this product please. smells very bad and cheap. Never buying here again,BAD
REV000130,jiji,Ankara fabric,Books & Stationery,Benue,5,I love this product so much. My madam happy when she see am na so I know say correct,1
REV000131,konga ng,Bag,Electronics,Delta,2,Worst product I have ever ordered. seller refused to respond. I warned you do not buy,BAD
REV000132,JIJI,Vitamins,Beauty,Kano,4,Product is exactly as described. my family loves it. I will definitely order again,1
REV000133,jumia,Thermometer,Fashion,Bauchi,5,Oga this thing na correct product,POSITIVE
REV000134,Konga,Rice cooker,Fashion,Lagos,2,Worst product I have ever ordered. smells very bad and cheap. Never buying here again,N
REV000135,jumia,Hair dryer,Home & Kitchen,Kano,1,Very bad experience with this seller. Very angry and disappointed,negative
REV000136,Konga,USB cable,Computers,Plateau,1,This is not what I ordered. seller refused to respond. I warned you do not buy,BAD
REV000137,jumia,Thermometer,Home & Kitchen,Delta,5,Great value for money. Abeg if you need am buy am no waste time,Good
REV000138,JIJI,Children toy,Electronics,Abuja,1,Abeg avoid this seller e be thief,NEGATIVE
REV000139,jiji,Exercise book,Books & Stationery,Kaduna,5,Excellent quality product. Wahala free delivery fast product correct,1
REV000140,Konga,Yoga mat,Home & Kitchen,Kwara,3,I don waste my money buy fake product,Neg
REV000141,JUMIA,Phone case,Phones & Tablets,Kaduna,4,Very satisfied with this item. highly recommend to everyone. God bless the seller,👍
REV000142,konga ng,Face mask,Health,Bauchi,1 stars,I regret buying this product. This thing na china fake dem charge me original price,0
REV000143,JIJI,Yoga mat,Fashion,Abuja,2,This product na pure rubbish walahi,Bad
REV000144,Jiji.ng,Women dress,Computers,Kaduna,5,I am very happy with this purchase. This product dey sweet walahi,Pos
REV000145,JIJI,Gym bag,Baby & Kids,Enugu,1,Wahala product fake packaging torn inside damaged,👎
REV000146,Jumia,Face mask,Sports,Bauchi,2,I am not happy with this purchase at all. I dey vex the delivery delay and product no work,neg
REV000147,Jiji.ng,Rice cooker,Books & Stationery,Delta,2,Na so dem dey cheat people for this country,N
REV000148,JIJI,Gym bag,Home & Kitchen,Abuja,4,This product fine well well no cap,GOOD
REV000149,konga,Women dress,Phones & Tablets,Kaduna,4,Excellent quality product. I swear this product na the best !!!! *** @#$,good
REV000150,Konga,Yoga mat,Beauty,Rivers,4,Excellent quality product. no complaints at all. Thank you so much,pos
REV000151,jumia nigeria,Bluetooth speaker,Books & Stationery,Benue,2,<p>This thing na china fake dem charge me original price</p>,NEGATIVE
REV000152,jumia,Bluetooth speaker,Beauty,Abuja,2,Absolutely terrible purchase. very flimsy and cheap material. Requesting a refund immediately,NEGATIVE
REV000153,Jiji.ng,School bag,Home & Kitchen,Imo,5,Ordered and received in perfect condition. delivery was very fast. Will tell my friends about this,pos
REV000154,jumia,LED bulb,Phones & Tablets,Niger,3,Absolutely terrible purchase. Abeg avoid this seller e be thief,Neg
REV000155,Jiji,Lipstick,Beauty,Plateau,2,Product spoil after two days use na wa,neg
REV000156,konga ng,Jump rope,Beauty,Kaduna,2,Zero stars if possible. Never buying here again,👎
REV000157,Jiji.ng,Baby clothes,Sports,Sokoto,1,This thing na china fake dem charge me original price,Negative
REV000158,konga,Bluetooth speaker,Health,Sokoto,5,I am very happy with this purchase. Oga this thing na correct product Check https://jumia.com/ref/123,👍
REV000159,Konga,Men shirt,Books & Stationery,Delta,1,This product na pure rubbish walahi,Neg
REV000160,JUMIA,Phone charger,Electronics,Sokoto,5,Great value for money. price is very fair. I am a loyal customer now,pos
REV000161,KONGA,Power bank,Fashion,Rivers,5,God bless the seller this thing work well,POSITIVE
REV000162,Konga.com,Body lotion,Fashion,Niger,5,Packaging was neat and delivery was fast. Seller dey try the product reach on time,Good
REV000163,jumia,Frying pan,Phones & Tablets,Katsina,3,Delivery took too long and product was damaged. I dey vex the delivery delay and product no work,👎
REV000164,Jiji.ng,Laptop bag,Phones & Tablets,Enugu,5,Excellent quality product. Seller dey try the product reach on time,POSITIVE
REV000165,JUMIA,Plate set,Beauty,Plateau,5,This is the best purchase I have made. seller was very responsive. Highly recommend this seller,Good
REV000166,JUMIA,Hair dryer,Home & Kitchen,Bauchi,5,Excellent quality product. Five stars all the way,Pos
REV000167,jiji,Yoga mat,Computers,Lagos,1,Product spoil after two days use na wa,neg
REV000168,JUMIA,Lipstick,Electronics,Rivers,3,Very poor quality product. Product spoil after two days use na wa,neg
REV000169,konga ng,Perfume,Fashion,Rivers,1,Product spoil after two days use na wa,neg
REV000170,Jumia.com,Frying pan,Computers,Enugu,5,Quality is top notch. product works perfectly. I will definitely order again,GOOD
REV000171,Jiji.ng,Jeans,Books & Stationery,Bauchi,4,I love this product so much. This product sabi work I dey use am every day,Pos
REV000172,Konga,Men shirt,Beauty,Anambra,3,This is not what I ordered. This product na lie the picture and reality different,Negative
REV000173,Jumia,Lipstick,Fashion,Plateau,1,Abeg make Jumia check this seller well well !!!! *** @#$,neg
REV000174,jiji nigeria,Electric fan,Phones & Tablets,Imo,1,Complete waste of my hard earned money. smells very bad and cheap. Very angry and disappointed,negative
REV000175,KONGA,LED bulb,Sports,Sokoto,4,Packaging was neat and delivery was fast. price is very fair. I am a loyal customer now,Positive
REV000176,Jumia.com,Ankara fabric,Baby & Kids,Plateau,4,Superb product highly recommend. arrived before the expected date. I will definitely order again,1
REV000177,Konga,Backpack,Fashion,Sokoto,5,E reach my house quick quick I happy die,pos
REV000178,Konga,Children toy,Computers,Lagos,2,This product na pure rubbish walahi,0
REV000179,Konga.com,Sunglasses,Home & Kitchen,Bauchi,4,Five stars no doubt. Abeg everyone should buy this thing,P
REV000180,Jumia,Vitamins,Sports,Plateau,1,The quality is extremely poor. Oga the thing dem send no be wetin I order,BAD
REV000181,jumia nigeria,Rice cooker,Computers,Sokoto,1,This product is nothing like the picture. Oga the thing dem send no be wetin I order !!!! *** @#$,👎
REV000182,Konga,Lipstick,Home & Kitchen,Abuja,5,Very durable and well made. my family loves it. Best decision I made this month,Good
REV000183,Jumia,Laptop bag,Beauty,Benue,1,Worst product I have ever ordered. Abeg make Jumia check this seller well well,Negative
REV000184,Jiji.ng,Children toy,Health,Oyo,5,Packaging was neat and delivery was fast. Seller dey try the product reach on time,positive
REV000185,JUMIA,Electric fan,Books & Stationery,Anambra,2,This product is very disappointing. Wahala product fake packaging torn inside damaged,👎
REV000186,KONGA,Phone charger,Home & Kitchen,Rivers,1,Zero stars if possible. Wasted my money completely,Neg
REV000187,jiji,Baby clothes,Health,Oyo,5,I am impressed with the quality. exactly as shown in the picture. Will tell my friends about this,P
REV000188,KONGA,Perfume,Electronics,Kwara,2,Absolutely terrible purchase. Wahala product fake packaging torn inside damaged,bad
REV000189,JUMIA,Baby clothes,Fashion,Imo,4,Product is exactly as described. product works perfectly. Very happy customer here,good
REV000190,jumia nigeria,Bluetooth speaker,Health,Kwara,5,Quality is top notch. Seller dey try the product reach on time,POSITIVE
REV000191,Jumia.com,Jeans,Beauty,Imo,1,Very poor quality product. Wahala product fake packaging torn inside damaged,BAD
REV000192,Konga,Gym bag,Sports,Niger,5,<p>Ordered and received in perfect condition. would definitely buy again. God bless the seller</p>,Good
REV000193,JIJI,Body lotion,Phones & Tablets,Kwara,5,Na real quality product this one be,good
REV000194,Jumia,Gym bag,Beauty,Plateau,5 stars,God bless the seller this thing work well,1
REV000195,konga ng,Memory card,Phones & Tablets,Enugu,2,Very poor quality product. Abeg make Jumia check this seller well well,N
REV000196,JIJI,Earphones,Beauty,Imo,4,Superb product highly recommend. Abeg if you need am buy am no waste time,Good
REV000197,JIJI,Body lotion,Beauty,Niger,5,I no regret buying this product at all,Good
REV000198,Jiji,Electric fan,Fashion,Niger,5,Best thing I have ordered on this platform. delivery was very fast. Will tell my friends about this,GOOD
REV000199,Jumia,Children toy,Baby & Kids,Katsina,5,Very durable and well made. Abeg if you need am buy am no waste time,Positive
REV000200,Jumia,Baby clothes,Computers,Abuja,4,I am very happy with this purchase. Abeg everyone should buy this thing,good
REV000201,konga ng,LED bulb,Phones & Tablets,Katsina,2,The quality is extremely poor. This thing na china fake dem charge me original price,Neg
REV000202,Jiji,Lipstick,Home & Kitchen,Kwara,1,Wahala product fake packaging torn inside damaged,neg
REV000203,jiji,Wristwatch,Home & Kitchen,Plateau,4,This product dey sweet walahi,1
REV000204,Jumia,Power bank,Baby & Kids,Imo,4,I am impressed with the quality. Abeg everyone should buy this thing,good
REV000205,Konga.com,Body lotion,Books & Stationery,Kwara,3,This is not what I ordered. I warned you do not buy,negative
REV000206,Jumia,Smartwatch,Computers,Kano,5,Five stars no doubt. arrived before the expected date. Best decision I made this month,Positive
REV000207,JIJI,Yoga mat,Sports,Delta,2,Product stopped working after two days. Complete scam avoid this,bad
REV000208,JIJI,Exercise book,Baby & Kids,Abuja,4,This one na original no be china fake,positive
REV000209,Jumia.com,Women dress,Books & Stationery,Oyo,2,This thing na china fake dem charge me original price,bad
REV000210,Jiji,School bag,Fashion,Delta,5,Wahala free delivery fast product correct,GOOD
REV000211,Jumia,Sandals,Home & Kitchen,Lagos,5,Quality is top notch. Abeg everyone should buy this thing,Positive
REV000212,JIJI,Bag,Sports,Enugu,1,Very dissatisfied with this item. size is wrong and too small. I want my money back,Bad
REV000213,Jiji.ng,Men shirt,Home & Kitchen,Niger,1,Delivery took too long and product was damaged. This thing na china fake dem charge me original price,0
REV000214,jumia nigeria,Ankara fabric,Sports,Bauchi,1,Very dissatisfied with this item. This seller is fraudulent,0
REV000215,Jiji.ng,Face mask,Home & Kitchen,Lagos,2,Zero stars if possible. very flimsy and cheap material. Wasted my money completely,Negative
REV000216,Jiji,Vitamins,Sports,Lagos,2,Worst product I have ever ordered. very flimsy and cheap material. Never buying here again,NEGATIVE
REV000217,konga,Ankara fabric,Beauty,Katsina,3,Wahala product fake packaging torn inside damaged,Bad
REV000218,Jiji.ng,Memory card,Phones & Tablets,Delta,1,Oga the thing dem send no be wetin I order,neg
REV000219,Konga,Pressing iron,Books & Stationery,Niger,2,Worst product I have ever ordered. This thing na china fake dem charge me original price,bad
REV000220,konga,Face mask,Beauty,Anambra,5,I love this product so much. This product sabi work I dey use am every day,POSITIVE
REV000221,Jumia,LED bulb,Health,Bauchi,2,Worst product I have ever ordered. not worth the price at all. Never buying here again,NEGATIVE
REV000222,Konga,Perfume,Fashion,Benue,2,Do not buy this product please. size is wrong and too small. Requesting a refund immediately,Neg
REV000223,jiji nigeria,Phone stand,Electronics,Enugu,3,I am not happy with this purchase at all. I want my money back,negative
REV000224,JUMIA,Bag,Books & Stationery,Imo,5,Product is exactly as described. exactly as shown in the picture. Best decision I made this month,pos
REV000225,jumia,Screen protector,Computers,Enugu,1,Worst product I have ever ordered. quality is very poor. Jumia should do better,Bad
REV000226,Konga.com,Electric kettle,Sports,Kano,,Best thing I have ordered on this platform. This one na original no be china fake,P
REV000227,Konga,Laptop bag,Sports,Kwara,1,Product spoil after two days use na wa,neg
REV000228,Konga,Cutlery set,Electronics,Katsina,2,Fake product delivered to me. This product na pure rubbish walahi,NEGATIVE
REV000229,Konga,Gym bag,Beauty,Delta,5,Perfect condition arrived on time. This product fine well well no cap,Positive
REV000230,jiji,Plate set,Phones & Tablets,Sokoto,1,Never buying from this seller again. Na so dem dey cheat people for this country,NEGATIVE
REV000231,Jiji.ng,Jump rope,Books & Stationery,Imo,5,Abeg if you need am buy am no waste time,Positive
REV000232,Jiji.ng,Baby clothes,Computers,Anambra,5,This product is absolutely amazing. Oga this thing na correct product,good
REV000233,Jumia.com,Running shoes,Computers,Kaduna,2,I go report this matter the product na rubbish,Bad
REV000234,Jiji,Baby clothes,Electronics,Enugu,1,Abeg avoid this seller e be thief,0
REV000235,Jiji.ng,Sandals,Electronics,Imo,4,This product is absolutely amazing. Seller dey try the product reach on time,good
REV000236,konga,Wristwatch,Health,Kano,2,Oga the thing dem send no be wetin I order,👎
REV000237,konga,Thermometer,Books & Stationery,Enugu,5,Great value for money. This one na original no be china fake,Good
REV000238,konga ng,Phone case,Phones & Tablets,Enugu,5,This is the best purchase I have made. product works perfectly. Highly recommend this seller,Good
REV000239,Jiji.ng,Baby clothes,Electronics,Sokoto,3,This product is very disappointing. I go report this matter the product na rubbish,bad
REV000240,konga ng,Laptop bag,Health,Imo,3,Abeg avoid this seller e be thief,0
REV000241,jumia nigeria,Air fryer,Home & Kitchen,Kano,1,Absolutely terrible purchase. This product na lie the picture and reality different,BAD
REV000242,konga ng,USB cable,Beauty,Imo,4,Superb product highly recommend. quality is outstanding. Highly recommend this seller,positive
REV000243,Jumia,Running shoes,Electronics,Enugu,4,Absolutely worth every naira. I swear this product na the best,Pos
REV000244,KONGA,Jump rope,Books & Stationery,Oyo,4,God bless the seller this thing work well    ,pos
REV000245,konga ng,Running shoes,Health,Kaduna,5,This is the best purchase I have made. Na real quality product this one be,Pos
REV000246,KONGA,Bluetooth speaker,Home & Kitchen,Katsina,5,Absolutely worth every naira. highly recommend to everyone. God bless the seller,pos
REV000247,JUMIA,Screen protector,Beauty,Niger,1,I am not happy with this purchase at all. delivery took forever. Complete scam avoid this,neg
REV000248,Konga.com,Bluetooth speaker,Fashion,Kaduna,5,Very durable and well made. My madam happy when she see am na so I know say correct,good
REV000249,Jiji,Power bank,Fashion,Imo,4,This product is absolutely amazing. God bless the seller,good
REV000250,Konga.com,Phone charger,Health,Imo,5,Excellent quality product. Na real quality product this one be,Good
REV000251,jumia nigeria,School bag,Phones & Tablets,Bauchi,2,Complete waste of my hard earned money. I go report this matter the product na rubbish,NEGATIVE
REV000252,JIJI,Yoga mat,Books & Stationery,Imo,4/5,Product is exactly as described. I no regret buying this product at all,Pos
